,cycle index,p_a,p_b,p_c,q_a,q_b,q_c,r_a,r_b,r_c,s_a,s_b,s_c,t_a,t_b,t_c
83,83,2178.907744179343,151.51896262222755,-0.0020522638456755664,-2620.2085056743927,232.0,-0.0003189035786572168,20086.674951786103,298.2533775557267,-0.012690599075599138,-4547.814462809403,313.0,-0.0008149065799824986,2000.0,480.0,-1.0
84,84,2183.8381193264167,149.74583099119812,-0.0012961784978991002,-2422.3546813859625,234.0,-0.00034939038765763206,19850.179449410516,298.1521497146357,-0.013017241547084276,-4051.048198822396,312.0,-0.0005621859341277058,2000.0,492.0,-1.0
85,85,2357.925458425958,149.1912143951474,-0.001569769880563968,-2001.876548088486,232.0,-0.0003315300491025699,19971.950394776148,297.40413155809483,-0.012037389810224999,-5284.284251274333,323.0014890263967,-0.009011972507640272,2000.0,469.0,-1.0
86,86,2029.4207403519495,151.7371492640337,-0.0018568348326978305,-2571.4593693951115,230.0,-0.0003678206754057167,20492.381431550013,298.4338098628971,-0.012805778875449947,-4210.695248829504,313.0,-0.0006552707658084918,2000.0,483.0,-1.0
87,87,1996.9428176488914,150.61615704719958,-0.0013867481948306895,-2435.153699744837,231.99999999999994,-0.00037192575984607294,20130.268387699984,299.4665177424624,-0.011652164483417134,-5471.95078564463,324.0141235723118,-0.009623010456636284,2000.0,486.0,-1.0
88,88,2448.4077716819443,149.90266716648546,-0.0018504942135709676,-2215.032309332443,232.0,-0.0003054313619525619,19873.67336156675,297.9166443465426,-0.012337085322501768,-3355.879035275779,313.0000000000011,-0.0004425420744760739,2000.0,439.0,-1.0
89,89,1556.8944688242798,149.9667873662016,-0.0011734339099922983,-2897.0888737798964,231.0,-0.0003967684046082911,19828.46025932575,299.9631714623332,-0.012407936210617664,-6159.85843819763,324.54729987819155,-0.010357460228271538,2000.0,439.0,-1.0
90,90,2030.509587746422,152.1194864346759,-0.001525439504213644,-2252.6473726237127,233.0,-0.00035551686587594034,19474.10302587412,299.84552980501394,-0.012213028078882917,-5773.117527659737,325.79601033492787,-0.010770730510811812,2000.0,477.0,-1.0
91,91,2274.194131407709,148.5762196096575,-0.002061787511333134,-2478.8814360933206,230.0,-0.0003149513767537045,19653.05953630972,299.1036365587787,-0.01312347831609041,-4292.819555730307,314.0,-0.0005854965986717915,2000.0,487.0,-1.0
92,92,2294.3731926440246,152.18388633900804,-0.0014841808812923346,-2057.79726426571,235.5275586900155,-0.00031379342535436825,19796.724748773904,300.0865383548695,-0.011851758613351358,-6189.86631621173,324.2073392236637,-0.012312907344676589,2000.0,512.0,-1.0
93,93,2611.6920584003237,151.1258235072629,-0.001692811092010442,-2000.0,219.0,-1.0,2000.0,221.0,-1.0,-1731.5410352637743,243.0,-0.0002747282206189893,18440.12399586089,297.24526329518994,-0.013702947121109695
94,94,2144.2723834590593,148.96309636315289,-0.001473803194309015,-2551.1179534599687,232.0,-0.0004226786144815896,18711.618151585593,300.7948518764612,-0.012474442134912599,-5822.317580378333,325.651174427892,-0.010124693902257462,3325.426296237163,562.9324578742854,-0.0003370933049951668
95,95,1829.598646343007,146.95006389625433,-0.001751705287657533,-2000.0,205.0,-1.0,2000.0,206.0,-1.0,-2000.0,207.0,-1.0,2000.0,210.0,-1.0
96,96,2016.9224268425828,149.91514425317,-0.002704733426404649,-2000.0,207.0,-1.0,2000.0,208.0,-1.0,-2484.5345678363215,228.99999999999997,-0.00032284782049029845,16138.914660853103,297.46406540332947,-0.014109482733608096
97,97,1825.2063230274243,150.26651913316084,-0.0014523480705985724,-2744.772301778277,231.0,-0.0003250559162811755,17441.552485285363,300.5022344027951,-0.014832185022608965,-6257.0619810055405,325.4687724912991,-0.012878558797648652,2000.0,457.0,-1.0
98,98,1938.8053596780148,148.73799560375346,-0.001582254073052427,-2530.7309155602366,231.99999999999937,-0.0003976516864971626,17742.60987383524,300.00797789544936,-0.013820932630461191,-5865.590161064595,325.3822202519852,-0.010292042366540738,2000.0,471.0,-1.0
99,99,2000.0,153.0,-1.0,-2000.0,159.0,-1.0,2394.5874317176213,149.48611043469035,-0.0027484117442461817,-2483.8922944826754,227.99999999999994,-0.0003112178804234672,15172.868839842877,297.7218963277476,-0.014722393399344691
100,100,1389.8179038151336,147.9864757145747,-0.002973986348784072,-2923.6832196552778,230.0,-0.0002908458702236334,16687.83735606701,300.82382403275585,-0.014582775761449321,-6318.020904848657,325.8094801692059,-0.011406522574040671,2000.0,443.0,-1.0
101,101,1951.9110764848056,145.67687316000635,-0.0015238217776038388,-2587.062586368504,230.0,-0.0003469461939873977,18123.38217684152,299.9735856213038,-0.01350324889840255,-4103.132152470504,314.0,-0.0005325639882628858,2000.0,469.0,-1.0
102,102,2354.965284025232,150.5412594785291,-0.0017097655211560558,-2278.895069143658,232.0,-0.0002861597481078651,16207.145452764848,297.82621270202003,-0.014150208813738765,-5490.843493783672,324.8177717432721,-0.009229052866552089,2000.0,449.0,-1.0
103,103,2000.0,40.0,-1.0,-2000.0,41.0,-1.0,2000.0,47.0,-1.0,-1240.7532566877717,69.0,-0.00036353492545641397,1936.3571920592462,146.3812749802254,-0.0024581406801260372
104,104,1910.1279263831175,148.44582182348864,-0.0016679953427428517,-2557.3434226405598,228.99999999999997,-0.0002831884801324288,18323.715392727205,299.9682267714321,-0.013559188596992077,-6073.9165161716255,324.21986096266363,-0.014706748319395712,2000.0,427.0,-1.0
105,105,1746.638032558943,149.5600934387571,-0.001597717207222847,-2377.5939189510455,230.0,-0.00030138465346961173,18112.11814233503,299.2690370294164,-0.011897214516147324,-5742.660758872543,324.22139025305677,-0.010990395573477231,2000.0,475.0,-1.0
106,106,2186.3682935550205,148.4718617111545,-0.001970444985273736,-2473.77572597478,229.0,-0.00027209642469149626,18226.069089921777,298.6034171737517,-0.012987680472869533,-3554.6740965767845,314.0,-0.00038457857895912706,2000.0,475.0,-1.0
107,107,1891.1843754943325,148.5004103351393,-0.0012167373106407005,-2434.0000463514775,231.0,-0.00036208996046322735,19172.283990998334,299.0611259580454,-0.012207307812348052,-3944.3810645505473,314.0,-0.0006171145829818275,2000.0,486.0,-1.0
108,108,2145.214267416224,148.30137677640775,-0.0020652819559303227,-2272.9709006609205,232.9999999999998,-0.00033626289005402033,19461.34294018876,298.21715502702256,-0.01241940886375129,-5581.0902350476745,323.5966204612308,-0.011316512250235645,2097.971478388182,567.1608917700679,-0.00036749415018154434
109,109,2087.4663703735464,149.64789859462599,-0.0016175883092168556,-2736.0359502601245,236.0,-0.00036590355534576015,19244.287645604232,301.30591407988044,-0.013205224335429196,-3977.9761459766605,316.0000000000056,-0.000465085145192987,2000.0,425.0,-1.0
110,110,1969.758135139224,149.19316560577468,-0.0016179851038397488,-2536.1963774621267,231.0,-0.0002983145009479526,19848.916172209447,299.3574501702443,-0.013072595893485547,-3542.890985537041,314.0,-0.00030114567673172904,2000.0,495.0,-1.0
111,111,2011.9268782058607,150.32181652618613,-0.0020437995612867252,-2278.310423196078,235.0,-0.00033619697112281945,19643.614606903706,297.92692907913056,-0.013446941869069088,-5436.8131708961355,323.84015349473714,-0.009410160350751571,2000.0,433.0,-1.0
112,112,2173.4051129086934,146.82835253389794,-0.002207719742626165,-2523.134646807752,229.0,-0.0004456817570965778,20156.086064533953,298.0507802409366,-0.01374977514244976,-6482.891133999946,322.5659473609192,-0.011296323480828225,2000.0,462.0,-1.0
